epoch,train_loss,MA,HE,EX,SE,mean_auc,loss
46,0.2932135882201018,"{'f1': 0.0, 'auc': 0.7246}","{'f1': 0.5637, 'auc': 0.9464}","{'f1': 0.6712, 'auc': 0.9556}","{'f1': 0.5945, 'auc': 0.946}",0.8931,0.2591
47,0.2914025397212417,"{'f1': 0.0, 'auc': 0.7412}","{'f1': 0.5539, 'auc': 0.9366}","{'f1': 0.6569, 'auc': 0.9629}","{'f1': 0.6078, 'auc': 0.9631}",0.9009,0.2616
48,0.30168904419298526,"{'f1': 0.0, 'auc': 0.7648}","{'f1': 0.5658, 'auc': 0.9505}","{'f1': 0.6513, 'auc': 0.9639}","{'f1': 0.6201, 'auc': 0.9603}",0.9099,0.257
49,0.3142131081333867,"{'f1': 0.0, 'auc': 0.7691}","{'f1': 0.57, 'auc': 0.9456}","{'f1': 0.6627, 'auc': 0.9614}","{'f1': 0.6164, 'auc': 0.9598}",0.909,0.2539
50,0.3078163906379982,"{'f1': 0.0, 'auc': 0.7615}","{'f1': 0.5611, 'auc': 0.937}","{'f1': 0.6565, 'auc': 0.9627}","{'f1': 0.6096, 'auc': 0.9627}",0.906,0.2555
51,0.3063950306839413,"{'f1': 0.0, 'auc': 0.7526}","{'f1': 0.5646, 'auc': 0.9391}","{'f1': 0.6545, 'auc': 0.9644}","{'f1': 0.6123, 'auc': 0.9608}",0.9042,0.255
52,0.29513101776440936,"{'f1': 0.0, 'auc': 0.7471}","{'f1': 0.568, 'auc': 0.9408}","{'f1': 0.6675, 'auc': 0.9581}","{'f1': 0.6119, 'auc': 0.9527}",0.8997,0.2528
53,0.3090037261998212,"{'f1': 0.0, 'auc': 0.7404}","{'f1': 0.5727, 'auc': 0.943}","{'f1': 0.6685, 'auc': 0.9576}","{'f1': 0.6145, 'auc': 0.9549}",0.899,0.2516
54,0.28534772660997176,"{'f1': 0.0, 'auc': 0.7413}","{'f1': 0.5711, 'auc': 0.9403}","{'f1': 0.6728, 'auc': 0.9539}","{'f1': 0.6127, 'auc': 0.9539}",0.8973,0.2515
55,0.28244059063770155,"{'f1': 0.0, 'auc': 0.752}","{'f1': 0.5706, 'auc': 0.9438}","{'f1': 0.6671, 'auc': 0.9591}","{'f1': 0.6143, 'auc': 0.9555}",0.9026,0.2512
56,0.3007669437814642,"{'f1': 0.0, 'auc': 0.759}","{'f1': 0.5714, 'auc': 0.9454}","{'f1': 0.6671, 'auc': 0.9604}","{'f1': 0.6151, 'auc': 0.956}",0.9052,0.2499
57,0.3019467459784614,"{'f1': 0.0, 'auc': 0.7462}","{'f1': 0.5721, 'auc': 0.9375}","{'f1': 0.666, 'auc': 0.9594}","{'f1': 0.615, 'auc': 0.9553}",0.8996,0.2495
58,0.2977947338863655,"{'f1': 0.0, 'auc': 0.7337}","{'f1': 0.5717, 'auc': 0.9408}","{'f1': 0.6663, 'auc': 0.9599}","{'f1': 0.6147, 'auc': 0.957}",0.8979,0.2505
59,0.2918471787814741,"{'f1': 0.0, 'auc': 0.7543}","{'f1': 0.5708, 'auc': 0.9457}","{'f1': 0.67, 'auc': 0.9579}","{'f1': 0.6155, 'auc': 0.9544}",0.9031,0.2508
60,0.3036605947547489,"{'f1': 0.0, 'auc': 0.7517}","{'f1': 0.5717, 'auc': 0.9409}","{'f1': 0.6707, 'auc': 0.9571}","{'f1': 0.6136, 'auc': 0.9577}",0.9019,0.2504
